Nome,Número,Peso,Altura,Tipos,Habilidades,Habilidades Descrição,Habilidades URL,Url Pokémon,Evoluções,Evoluções Número,Evoluções URL
Charmander,0004,8.5 kg (18.7 lbs),0.6 m (2′00″),Fire,"Blaze,Solar Power"," Powers up Fire-type moves in a pinch., In sunshine, Sp. Atk is boosted but HP decreases."," https://pokemondb.net//ability/blaze, https://pokemondb.net//ability/solar-power",https://pokemondb.net/pokedex/charmander,"Charmeleon,Charizard"," #0005, #0006"," https://pokemondb.net//pokedex/charmeleon, https://pokemondb.net//pokedex/charizard"
Venusaur,0003,100.0 kg (220.5 lbs),2.0 m (6′07″),"Grass,Poison","Overgrow,Chlorophyll,Thick Fat"," Powers up Grass-type moves in a pinch., Boosts the Pokémon's Speed in sunshine., Ups resistance to Fire- and Ice-type moves."," https://pokemondb.net//ability/overgrow, https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/thick-fat",https://pokemondb.net/pokedex/venusaur,,,
Ivysaur,0002,13.0 kg (28.7 lbs),1.0 m (3′03″),"Grass,Poison","Overgrow,Chlorophyll"," Powers up Grass-type moves in a pinch., Boosts the Pokémon's Speed in sunshine."," https://pokemondb.net//ability/overgrow, https://pokemondb.net//ability/chlorophyll",https://pokemondb.net/pokedex/ivysaur,Venusaur, #0003," https://pokemondb.net//pokedex/ivysaur, https://pokemondb.net//pokedex/venusaur"
Ekans,0023,6.9 kg (15.2 lbs),2.0 m (6′07″),Poison,"Intimidate,Shed Skin,Unnerve"," Lowers the foe's Attack stat., The Pokémon may heal its own status problems., Makes the foe nervous and unable to eat Berries."," https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/shed-skin, https://pokemondb.net//ability/unnerve",https://pokemondb.net/pokedex/ekans,Arbok, #0024, https://pokemondb.net//pokedex/arbok
Fearow,0022,38.0 kg (83.8 lbs),1.2 m (3′11″),"Normal,Flying","Keen Eye,Sniper"," Prevents other Pokémon from lowering accuracy., Powers up moves if they become critical hits."," https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/sniper",https://pokemondb.net/pokedex/fearow,,,
Spearow,0021,2.0 kg (4.4 lbs),0.3 m (1′00″),"Normal,Flying","Keen Eye,Sniper"," Prevents other Pokémon from lowering accuracy., Powers up moves if they become critical hits."," https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/sniper",https://pokemondb.net/pokedex/spearow,Fearow, #0022, https://pokemondb.net//pokedex/fearow
Ninetales,0038,19.9 kg (43.9 lbs),1.1 m (3′07″),Fire,"Flash Fire,Drought,Snow Cloak,Snow Warning"," It powers up Fire-type moves if it's hit by one., Turns the sunlight harsh when the Pokémon enters a battle., Raises evasion in a hailstorm., The Pokémon summons a hailstorm in battle."," https://pokemondb.net//ability/flash-fire, https://pokemondb.net//ability/drought, https://pokemondb.net//ability/snow-cloak, https://pokemondb.net//ability/snow-warning",https://pokemondb.net/pokedex/ninetales,,,
Psyduck,0054,19.6 kg (43.2 lbs),0.8 m (2′07″),Water,"Damp,Cloud Nine,Swift Swim"," Prevents the use of self-destructing moves., Eliminates the effects of weather., Boosts the Pokémon's Speed in rain."," https://pokemondb.net//ability/damp, https://pokemondb.net//ability/cloud-nine, https://pokemondb.net//ability/swift-swim",https://pokemondb.net/pokedex/psyduck,Golduck, #0055, https://pokemondb.net//pokedex/golduck
Exeggcute,0102,2.5 kg (5.5 lbs),0.4 m (1′04″),"Grass,Psychic","Chlorophyll,Harvest"," Boosts the Pokémon's Speed in sunshine., May create another Berry after one is used."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/harvest",https://pokemondb.net/pokedex/exeggcute,,,
Electrode,0101,66.6 kg (146.8 lbs),1.2 m (3′11″),Electric,"Soundproof,Static,Aftermath,Soundproof,Static,Aftermath"," Gives immunity to sound-based moves., Contact with the Pokémon may cause paralysis., Damages the attacker landing the finishing hit., Gives immunity to sound-based moves., Contact with the Pokémon may cause paralysis., Damages the attacker landing the finishing hit."," https://pokemondb.net//ability/soundproof, https://pokemondb.net//ability/static, https://pokemondb.net//ability/aftermath, https://pokemondb.net//ability/soundproof, https://pokemondb.net//ability/static, https://pokemondb.net//ability/aftermath",https://pokemondb.net/pokedex/electrode,,,
Voltorb,0100,10.4 kg (22.9 lbs),0.5 m (1′08″),Electric,"Soundproof,Static,Aftermath,Soundproof,Static,Aftermath"," Gives immunity to sound-based moves., Contact with the Pokémon may cause paralysis., Damages the attacker landing the finishing hit., Gives immunity to sound-based moves., Contact with the Pokémon may cause paralysis., Damages the attacker landing the finishing hit."," https://pokemondb.net//ability/soundproof, https://pokemondb.net//ability/static, https://pokemondb.net//ability/aftermath, https://pokemondb.net//ability/soundproof, https://pokemondb.net//ability/static, https://pokemondb.net//ability/aftermath",https://pokemondb.net/pokedex/voltorb,Electrode, #0101," https://pokemondb.net//pokedex/electrode, https://pokemondb.net//pokedex/voltorb, https://pokemondb.net//pokedex/electrode"
Kingler,0099,60.0 kg (132.3 lbs),1.3 m (4′03″),Water,"Hyper Cutter,Shell Armor,Sheer Force"," Prevents other Pokémon from lowering Attack stat., The Pokémon is protected against critical hits., Removes added effects to increase move damage."," https://pokemondb.net//ability/hyper-cutter, https://pokemondb.net//ability/shell-armor, https://pokemondb.net//ability/sheer-force",https://pokemondb.net/pokedex/kingler,,,
Krabby,0098,6.5 kg (14.3 lbs),0.4 m (1′04″),Water,"Hyper Cutter,Shell Armor,Sheer Force"," Prevents other Pokémon from lowering Attack stat., The Pokémon is protected against critical hits., Removes added effects to increase move damage."," https://pokemondb.net//ability/hyper-cutter, https://pokemondb.net//ability/shell-armor, https://pokemondb.net//ability/sheer-force",https://pokemondb.net/pokedex/krabby,Kingler, #0099, https://pokemondb.net//pokedex/kingler
Hypno,0097,75.6 kg (166.7 lbs),1.6 m (5′03″),Psychic,"Insomnia,Forewarn,Inner Focus"," Prevents the Pokémon from falling asleep., Determines what moves a foe has., The Pokémon is protected from flinching."," https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/forewarn, https://pokemondb.net//ability/inner-focus",https://pokemondb.net/pokedex/hypno,,,
Seadra,0117,25.0 kg (55.1 lbs),1.2 m (3′11″),Water,"Poison Point,Sniper,Damp"," Contact with the Pokémon may poison the attacker., Powers up moves if they become critical hits., Prevents the use of self-destructing moves."," https://pokemondb.net//ability/poison-point, https://pokemondb.net//ability/sniper, https://pokemondb.net//ability/damp",https://pokemondb.net/pokedex/seadra,Kingdra, #0230," https://pokemondb.net//pokedex/seadra, https://pokemondb.net//pokedex/kingdra"
Horsea,0116,8.0 kg (17.6 lbs),0.4 m (1′04″),Water,"Swift Swim,Sniper,Damp"," Boosts the Pokémon's Speed in rain., Powers up moves if they become critical hits., Prevents the use of self-destructing moves."," https://pokemondb.net//ability/swift-swim, https://pokemondb.net//ability/sniper, https://pokemondb.net//ability/damp",https://pokemondb.net/pokedex/horsea,"Seadra,Kingdra"," #0117, #0230"," https://pokemondb.net//pokedex/seadra, https://pokemondb.net//pokedex/kingdra"
Tauros,0128,88.4 kg (194.9 lbs),1.4 m (4′07″),Normal,"Intimidate,Anger Point,Sheer Force,Intimidate,Anger Point,Cud Chew,Intimidate,Anger Point,Cud Chew,Intimidate,Anger Point,Cud Chew"," Lowers the foe's Attack stat., Maxes Attack after taking a critical hit., Removes added effects to increase move damage., Lowers the foe's Attack stat., Maxes Attack after taking a critical hit., Can eat the same Berry twice., Lowers the foe's Attack stat., Maxes Attack after taking a critical hit., Can eat the same Berry twice., Lowers the foe's Attack stat., Maxes Attack after taking a critical hit., Can eat the same Berry twice."," https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/anger-point, https://pokemondb.net//ability/sheer-force, https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/anger-point, https://pokemondb.net//ability/cud-chew, https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/anger-point, https://pokemondb.net//ability/cud-chew, https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/anger-point, https://pokemondb.net//ability/cud-chew",https://pokemondb.net/pokedex/tauros,,,
Pinsir,0127,55.0 kg (121.3 lbs),1.5 m (4′11″),Bug,"Hyper Cutter,Mold Breaker,Moxie,Aerilate"," Prevents other Pokémon from lowering Attack stat., Moves can be used regardless of Abilities., Boosts Attack after knocking out any Pokémon., Turns Normal-type moves into Flying-type moves."," https://pokemondb.net//ability/hyper-cutter, https://pokemondb.net//ability/mold-breaker, https://pokemondb.net//ability/moxie, https://pokemondb.net//ability/aerilate",https://pokemondb.net/pokedex/pinsir,,,
Magmar,0126,44.5 kg (98.1 lbs),1.3 m (4′03″),Fire,"Flame Body,Vital Spirit"," Contact with the Pokémon may burn the attacker., Prevents the Pokémon from falling asleep."," https://pokemondb.net//ability/flame-body, https://pokemondb.net//ability/vital-spirit",https://pokemondb.net/pokedex/magmar,Magmortar, #0467," https://pokemondb.net//pokedex/magmar, https://pokemondb.net//pokedex/magmortar"
Electabuzz,0125,30.0 kg (66.1 lbs),1.1 m (3′07″),Electric,"Static,Vital Spirit"," Contact with the Pokémon may cause paralysis., Prevents the Pokémon from falling asleep."," https://pokemondb.net//ability/static, https://pokemondb.net//ability/vital-spirit",https://pokemondb.net/pokedex/electabuzz,Electivire, #0466," https://pokemondb.net//pokedex/electabuzz, https://pokemondb.net//pokedex/electivire"
Jynx,0124,40.6 kg (89.5 lbs),1.4 m (4′07″),"Ice,Psychic","Oblivious,Forewarn,Dry Skin"," Prevents it from becoming infatuated., Determines what moves a foe has., Reduces HP if it is hot. Water restores HP."," https://pokemondb.net//ability/oblivious, https://pokemondb.net//ability/forewarn, https://pokemondb.net//ability/dry-skin",https://pokemondb.net/pokedex/jynx,,,
Scyther,0123,56.0 kg (123.5 lbs),1.5 m (4′11″),"Bug,Flying","Swarm,Technician,Steadfast"," Powers up Bug-type moves in a pinch., Powers up the Pokémon's weaker moves., Raises Speed each time the Pokémon flinches."," https://pokemondb.net//ability/swarm, https://pokemondb.net//ability/technician, https://pokemondb.net//ability/steadfast",https://pokemondb.net/pokedex/scyther,,,
Omanyte,0138,7.5 kg (16.5 lbs),0.4 m (1′04″),"Rock,Water","Swift Swim,Shell Armor,Weak Armor"," Boosts the Pokémon's Speed in rain., The Pokémon is protected against critical hits., Physical attacks lower Defense and raise Speed."," https://pokemondb.net//ability/swift-swim, https://pokemondb.net//ability/shell-armor, https://pokemondb.net//ability/weak-armor",https://pokemondb.net/pokedex/omanyte,Omastar, #0139, https://pokemondb.net//pokedex/omastar
Porygon,0137,36.5 kg (80.5 lbs),0.8 m (2′07″),Normal,"Trace,Download,Analytic"," The Pokémon copies a foe's Ability., Adjusts power according to a foe's defenses., Boosts move power when the Pokémon moves last."," https://pokemondb.net//ability/trace, https://pokemondb.net//ability/download, https://pokemondb.net//ability/analytic",https://pokemondb.net/pokedex/porygon,"Porygon2,Porygon-Z"," #0233, #0474"," https://pokemondb.net//pokedex/porygon2, https://pokemondb.net//pokedex/porygon-z"
Mew,0151,4.0 kg (8.8 lbs),0.4 m (1′04″),Psychic,Synchronize," Passes a burn, poison, or paralysis to the foe.", https://pokemondb.net//ability/synchronize,https://pokemondb.net/pokedex/mew,,,
Mewtwo,0150,122.0 kg (269.0 lbs),2.0 m (6′07″),Psychic,"Pressure,Unnerve,Steadfast,Insomnia"," The Pokémon raises the foe's PP usage., Makes the foe nervous and unable to eat Berries., Raises Speed each time the Pokémon flinches., Prevents the Pokémon from falling asleep."," https://pokemondb.net//ability/pressure, https://pokemondb.net//ability/unnerve, https://pokemondb.net//ability/steadfast, https://pokemondb.net//ability/insomnia",https://pokemondb.net/pokedex/mewtwo,,,
Dragonite,0149,210.0 kg (463.0 lbs),2.2 m (7′03″),"Dragon,Flying","Inner Focus,Multiscale"," The Pokémon is protected from flinching., Reduces damage when HP is full."," https://pokemondb.net//ability/inner-focus, https://pokemondb.net//ability/multiscale",https://pokemondb.net/pokedex/dragonite,,,
Dragonair,0148,16.5 kg (36.4 lbs),4.0 m (13′01″),Dragon,"Shed Skin,Marvel Scale"," The Pokémon may heal its own status problems., Ups Defense if there is a status problem."," https://pokemondb.net//ability/shed-skin, https://pokemondb.net//ability/marvel-scale",https://pokemondb.net/pokedex/dragonair,Dragonite, #0149," https://pokemondb.net//pokedex/dragonair, https://pokemondb.net//pokedex/dragonite"
Dratini,0147,3.3 kg (7.3 lbs),1.8 m (5′11″),Dragon,"Shed Skin,Marvel Scale"," The Pokémon may heal its own status problems., Ups Defense if there is a status problem."," https://pokemondb.net//ability/shed-skin, https://pokemondb.net//ability/marvel-scale",https://pokemondb.net/pokedex/dratini,"Dragonair,Dragonite"," #0148, #0149"," https://pokemondb.net//pokedex/dragonair, https://pokemondb.net//pokedex/dragonite"
Moltres,0146,60.0 kg (132.3 lbs),2.0 m (6′07″),"Fire,Flying","Pressure,Flame Body,Berserk"," The Pokémon raises the foe's PP usage., Contact with the Pokémon may burn the attacker., Raises Special Attack when HP drops below half."," https://pokemondb.net//ability/pressure, https://pokemondb.net//ability/flame-body, https://pokemondb.net//ability/berserk",https://pokemondb.net/pokedex/moltres,,,
Ledyba,0165,10.8 kg (23.8 lbs),1.0 m (3′03″),"Bug,Flying","Swarm,Early Bird,Rattled"," Powers up Bug-type moves in a pinch., The Pokémon awakens quickly from sleep., Bug, Ghost or Dark type moves scare it and boost its Speed."," https://pokemondb.net//ability/swarm, https://pokemondb.net//ability/early-bird, https://pokemondb.net//ability/rattled",https://pokemondb.net/pokedex/ledyba,Ledian, #0166, https://pokemondb.net//pokedex/ledian
Noctowl,0164,40.8 kg (89.9 lbs),1.6 m (5′03″),"Normal,Flying","Insomnia,Keen Eye,Tinted Lens"," Prevents the Pokémon from falling asleep., Prevents other Pokémon from lowering accuracy., Powers up “not very effective” moves."," https://pokemondb.net//ability/insomnia, https://pokemondb.net//ability/keen-eye, https://pokemondb.net//ability/tinted-lens",https://pokemondb.net/pokedex/noctowl,,,
Azumarill,0184,28.5 kg (62.8 lbs),0.8 m (2′07″),"Water,Fairy","Thick Fat,Huge Power,Sap Sipper"," Ups resistance to Fire- and Ice-type moves., Raises the Pokémon's Attack stat., Boosts Attack when hit by a Grass-type move."," https://pokemondb.net//ability/thick-fat, https://pokemondb.net//ability/huge-power, https://pokemondb.net//ability/sap-sipper",https://pokemondb.net/pokedex/azumarill,,,
Marill,0183,8.5 kg (18.7 lbs),0.4 m (1′04″),"Water,Fairy","Thick Fat,Huge Power,Sap Sipper"," Ups resistance to Fire- and Ice-type moves., Raises the Pokémon's Attack stat., Boosts Attack when hit by a Grass-type move."," https://pokemondb.net//ability/thick-fat, https://pokemondb.net//ability/huge-power, https://pokemondb.net//ability/sap-sipper",https://pokemondb.net/pokedex/marill,Azumarill, #0184," https://pokemondb.net//pokedex/marill, https://pokemondb.net//pokedex/azumarill"
Bellossom,0182,5.8 kg (12.8 lbs),0.4 m (1′04″),Grass,"Chlorophyll,Healer"," Boosts the Pokémon's Speed in sunshine., May heal an ally's status conditions."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/healer",https://pokemondb.net/pokedex/bellossom,Gloom, #0044, https://pokemondb.net//pokedex/gloom
Ampharos,0181,61.5 kg (135.6 lbs),1.4 m (4′07″),Electric,"Static,Plus,Mold Breaker"," Contact with the Pokémon may cause paralysis., Ups Sp. Atk if another Pokémon has Plus or Minus., Moves can be used regardless of Abilities."," https://pokemondb.net//ability/static, https://pokemondb.net//ability/plus, https://pokemondb.net//ability/mold-breaker",https://pokemondb.net/pokedex/ampharos,,,
Flaaffy,0180,13.3 kg (29.3 lbs),0.8 m (2′07″),Electric,"Static,Plus"," Contact with the Pokémon may cause paralysis., Ups Sp. Atk if another Pokémon has Plus or Minus."," https://pokemondb.net//ability/static, https://pokemondb.net//ability/plus",https://pokemondb.net/pokedex/flaaffy,Ampharos, #0181," https://pokemondb.net//pokedex/flaaffy, https://pokemondb.net//pokedex/ampharos"
Mareep,0179,7.8 kg (17.2 lbs),0.6 m (2′00″),Electric,"Static,Plus"," Contact with the Pokémon may cause paralysis., Ups Sp. Atk if another Pokémon has Plus or Minus."," https://pokemondb.net//ability/static, https://pokemondb.net//ability/plus",https://pokemondb.net/pokedex/mareep,"Flaaffy,Ampharos"," #0180, #0181"," https://pokemondb.net//pokedex/flaaffy, https://pokemondb.net//pokedex/ampharos"
Jumpluff,0189,3.0 kg (6.6 lbs),0.8 m (2′07″),"Grass,Flying","Chlorophyll,Leaf Guard,Infiltrator"," Boosts the Pokémon's Speed in sunshine., Prevents problems with status in sunny weather., Passes through the foe's barrier and strikes."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/leaf-guard, https://pokemondb.net//ability/infiltrator",https://pokemondb.net/pokedex/jumpluff,,,
Skiploom,0188,1.0 kg (2.2 lbs),0.6 m (2′00″),"Grass,Flying","Chlorophyll,Leaf Guard,Infiltrator"," Boosts the Pokémon's Speed in sunshine., Prevents problems with status in sunny weather., Passes through the foe's barrier and strikes."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/leaf-guard, https://pokemondb.net//ability/infiltrator",https://pokemondb.net/pokedex/skiploom,Jumpluff, #0189," https://pokemondb.net//pokedex/skiploom, https://pokemondb.net//pokedex/jumpluff"
Sunflora,0192,8.5 kg (18.7 lbs),0.8 m (2′07″),Grass,"Chlorophyll,Solar Power,Early Bird"," Boosts the Pokémon's Speed in sunshine., In sunshine, Sp. Atk is boosted but HP decreases., The Pokémon awakens quickly from sleep."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/solar-power, https://pokemondb.net//ability/early-bird",https://pokemondb.net/pokedex/sunflora,,,
Sunkern,0191,1.8 kg (4.0 lbs),0.3 m (1′00″),Grass,"Chlorophyll,Solar Power,Early Bird"," Boosts the Pokémon's Speed in sunshine., In sunshine, Sp. Atk is boosted but HP decreases., The Pokémon awakens quickly from sleep."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/solar-power, https://pokemondb.net//ability/early-bird",https://pokemondb.net/pokedex/sunkern,Sunflora, #0192, https://pokemondb.net//pokedex/sunflora
Aipom,0190,11.5 kg (25.4 lbs),0.8 m (2′07″),Normal,"Run Away,Pickup,Skill Link"," Enables a sure getaway from wild Pokémon., The Pokémon may pick up items., Increases the frequency of multi-strike moves."," https://pokemondb.net//ability/run-away, https://pokemondb.net//ability/pickup, https://pokemondb.net//ability/skill-link",https://pokemondb.net/pokedex/aipom,Ambipom, #0424, https://pokemondb.net//pokedex/ambipom
Hoppip,0187,0.5 kg (1.1 lbs),0.4 m (1′04″),"Grass,Flying","Chlorophyll,Leaf Guard,Infiltrator"," Boosts the Pokémon's Speed in sunshine., Prevents problems with status in sunny weather., Passes through the foe's barrier and strikes."," https://pokemondb.net//ability/chlorophyll, https://pokemondb.net//ability/leaf-guard, https://pokemondb.net//ability/infiltrator",https://pokemondb.net/pokedex/hoppip,"Skiploom,Jumpluff"," #0188, #0189"," https://pokemondb.net//pokedex/skiploom, https://pokemondb.net//pokedex/jumpluff"
Politoed,0186,33.9 kg (74.7 lbs),1.1 m (3′07″),Water,"Water Absorb,Damp,Drizzle"," Restores HP if hit by a Water-type move., Prevents the use of self-destructing moves., The Pokémon makes it rain when it enters a battle."," https://pokemondb.net//ability/water-absorb, https://pokemondb.net//ability/damp, https://pokemondb.net//ability/drizzle",https://pokemondb.net/pokedex/politoed,Poliwhirl, #0061, https://pokemondb.net//pokedex/poliwhirl
Sudowoodo,0185,38.0 kg (83.8 lbs),1.2 m (3′11″),Rock,"Sturdy,Rock Head,Rattled"," It cannot be knocked out with one hit., Protects the Pokémon from recoil damage., Bug, Ghost or Dark type moves scare it and boost its Speed."," https://pokemondb.net//ability/sturdy, https://pokemondb.net//ability/rock-head, https://pokemondb.net//ability/rattled",https://pokemondb.net/pokedex/sudowoodo,,,
Gligar,0207,64.8 kg (142.9 lbs),1.1 m (3′07″),"Ground,Flying","Hyper Cutter,Sand Veil,Immunity"," Prevents other Pokémon from lowering Attack stat., Boosts the Pokémon's evasion in a sandstorm., Prevents the Pokémon from getting poisoned."," https://pokemondb.net//ability/hyper-cutter, https://pokemondb.net//ability/sand-veil, https://pokemondb.net//ability/immunity",https://pokemondb.net/pokedex/gligar,Gliscor, #0472, https://pokemondb.net//pokedex/gliscor
Dunsparce,0206,14.0 kg (30.9 lbs),1.5 m (4′11″),Normal,"Serene Grace,Run Away,Rattled"," Boosts the likelihood of added effects appearing., Enables a sure getaway from wild Pokémon., Bug, Ghost or Dark type moves scare it and boost its Speed."," https://pokemondb.net//ability/serene-grace, https://pokemondb.net//ability/run-away, https://pokemondb.net//ability/rattled",https://pokemondb.net/pokedex/dunsparce,,,
Heracross,0214,54.0 kg (119.0 lbs),1.5 m (4′11″),"Bug,Fighting","Swarm,Guts,Moxie,Skill Link"," Powers up Bug-type moves in a pinch., Boosts Attack if there is a status problem., Boosts Attack after knocking out any Pokémon., Increases the frequency of multi-strike moves."," https://pokemondb.net//ability/swarm, https://pokemondb.net//ability/guts, https://pokemondb.net//ability/moxie, https://pokemondb.net//ability/skill-link",https://pokemondb.net/pokedex/heracross,,,
Shuckle,0213,20.5 kg (45.2 lbs),0.6 m (2′00″),"Bug,Rock","Sturdy,Gluttony,Contrary"," It cannot be knocked out with one hit., Encourages the early use of a held Berry., Makes stat changes have an opposite effect."," https://pokemondb.net//ability/sturdy, https://pokemondb.net//ability/gluttony, https://pokemondb.net//ability/contrary",https://pokemondb.net/pokedex/shuckle,,,
Scizor,0212,118.0 kg (260.1 lbs),1.8 m (5′11″),"Bug,Steel","Swarm,Technician,Light Metal,Technician"," Powers up Bug-type moves in a pinch., Powers up the Pokémon's weaker moves., Halves the Pokémon's weight., Powers up the Pokémon's weaker moves."," https://pokemondb.net//ability/swarm, https://pokemondb.net//ability/technician, https://pokemondb.net//ability/light-metal, https://pokemondb.net//ability/technician",https://pokemondb.net/pokedex/scizor,,,
Qwilfish,0211,3.9 kg (8.6 lbs),0.5 m (1′08″),"Water,Poison","Poison Point,Swift Swim,Intimidate,Poison Point,Swift Swim,Intimidate"," Contact with the Pokémon may poison the attacker., Boosts the Pokémon's Speed in rain., Lowers the foe's Attack stat., Contact with the Pokémon may poison the attacker., Boosts the Pokémon's Speed in rain., Lowers the foe's Attack stat."," https://pokemondb.net//ability/poison-point, https://pokemondb.net//ability/swift-swim, https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/poison-point, https://pokemondb.net//ability/swift-swim, https://pokemondb.net//ability/intimidate",https://pokemondb.net/pokedex/qwilfish,Overqwil, #0904, https://pokemondb.net//pokedex/overqwil
Granbull,0210,48.7 kg (107.4 lbs),1.4 m (4′07″),Fairy,"Intimidate,Quick Feet,Rattled"," Lowers the foe's Attack stat., Boosts Speed if there is a status problem., Bug, Ghost or Dark type moves scare it and boost its Speed."," https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/quick-feet, https://pokemondb.net//ability/rattled",https://pokemondb.net/pokedex/granbull,,,
Snubbull,0209,7.8 kg (17.2 lbs),0.6 m (2′00″),Fairy,"Intimidate,Run Away,Rattled"," Lowers the foe's Attack stat., Enables a sure getaway from wild Pokémon., Bug, Ghost or Dark type moves scare it and boost its Speed."," https://pokemondb.net//ability/intimidate, https://pokemondb.net//ability/run-away, https://pokemondb.net//ability/rattled",https://pokemondb.net/pokedex/snubbull,Granbull, #0210, https://pokemondb.net//pokedex/granbull
